,standing stones/bouldrers,orthostats/boulders and bank,ditch and bank,bank ,stones on or protrude from mound,"other, inc once below mound",regularly spaced,irregularly spaced,contiguoius,bank faced inside,bank faced outside,stones on inside and outside,orthostats in centre of bank,all horizontal,stones protrrude from/on mound ,below mound,no perimeter focal point,gap,porch,portal stones,tall stone ,recumbent,splayed,other,nothing in interior,mound whole are,mound separate,mound seperte &kerb,ring cairn,boulder burial,megalithic tomb,menhir,boulder,stone circle insiode,other stone structure,other,menir outside,more than one mehir outside,arc outside,paired stones outside,avenue row,other,part of complex,other,diam 1,diam 2,diam 3,diam 4
"Upper Auchnagorth, Aber",y,,,,,,y,,,,,,,,,,y,,,,,,,,,y,,,,,,,,,,,,,,,,,,,y,,,
"Abercross, High",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Achanarass Hill, Highlands ",y,,,,,,y,,,,,,,,,,,?,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Acharn Falls , P&K",y,,,,,,y,,,,,,,,,,y,,,,,,,,,,?,,,,,,,,,,,,,,,,,,y,,,
"Airich, P&K",,y,,,,,,y,,,,,,,,,?,,,,,,,,y,,,,,,,,,,,,,,,,,y,,,y,,,
"Appletreewick, Yorks",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Ash Cabin Flat, peak",,y,,,,,,,,y,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Auchagsalion  Aran,Y,,,,,,Y,,,,,,,,,,,,,,,,,?,,Y,,,,,,,,,,,,,,,,,,,y,,,
"Auchinduich, High  ",y,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,,,y,,,,,,,,,,,y,,,
"Aultan Brovbster , Hugh ",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,y,
Avebury,,,y,,,,y,,,,,,,,,,,,,,,,,?,,,,,,,,,,y,,,,,,,y,,y,,,,,y
"Backhill of Drachlaw, Abere",y,,,,,,y,,,,,,,,,,,y,,,,,,?,y,,,,,,,,,,,,,,,,,,?,,y,,,
"Backlass, High",y,,,,,,y,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,?,,,,,,,,y,,,
"Balbirnie,P&K",y,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,,,,,,,y,,y,,,
"Balfarg, Tay",,,y,,,,y,,,,,,,,,,,,,y,,,,,,,,,,,,,,y,,,,,,,,,y,,y,,,
"Balgathno,Dundee",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Balhomais , P&K",y,,,,,,?,,,,,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,,
"Balkembrack, Angus",Y,,,,,,Y,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Ballynoe, Dow",y,,,,,,,y,,,,,,,,,,,,y,,,,,,,,y,,,,,,,y,,?,,,,,,,,,y,,
"Balmuick, P&K",y,,,,,,?,,,,,,,,,?,y,,,,,,,,?,,,,,,,,,,,,,,,,,,,,y,,,
"Banford Moor S, peak",,y,,,,,,,,y,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,?,,y,,,
"BANNAU SIR GAER, Car",y,,,,,,?,,,,,,,,,,,,,,?,,,,y,,,,,,,,,,,,,,,,,?,,,y,,,
"Banniside, C",,y,,,,,,,,y,,,,,y,,,,,,,,,y,,y,,,,,,,,,,,,,,,,,,,y,,,
Barbreck house bB Argyll,Y,,,,,,?,,,,,,,,,,?,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,y,,,
"Barbrook 1, peak",,y,,,,,,,,y,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
"Bfrabrook 2, peak",,y,,,,,,,,,,y,,,,,,y,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
"Blackfaulds, P&K",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Bleberry Haws, C",y,,,,,,?,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
"Boscawen-Un, Corn",y,,,,,,y,,,,,,,,,,,?,,,,,,y,,,,,,,,y,,,,,,,,,,,,,y,,,
"Boskednan, ",y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,y,,,
Brankam Hill 2 Angus,,,,,y,,,,,,,,,,,,y,,,,,,,,,y,,,,,,,,,,,,,,,,,y,,y,,,
"Brat's Hill, C",y,,,,,,y,,,,,,,,,,y,,,,,,,,,,,y,y,,,,,,,,,,,,,,y,,,y,,
"Broomrigg centre, c",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
"Broomrigg S, C",y,,,,,,,y,,,,,,,,,y,,,,,,,,,?,,,,,,,,,,,,,,,,,y,,y,,,
"Brown Edge, Titley Moor, peak",,?,,y,,,,,,,,,,,,,?,,,,,,,?,,,y,,,,,,,?,,,,,,,,,y,,y,,,
"Bryn Y Gorlan , Wles",y,,,,,,?,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
Cairnpapple,,,y,,,,,,,,,,,,,,?,,,,,,,,,,,y,,,,,,y,,,,,,,,,,,,y,,
"Car[perby, N. Yorks ",,y,,,,,,,,y,,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,,
"Casterton, C",,y,,,,,,,,y,,,,,y,,,,,,,,,?,,y,,,,,,,,,,,,,,,,,,,y,,,
"Castlehowe Scar, C",y,,,,,,y,,,,,,,,,,,y,,,,,,?,y,,,,,,,,,,,,,,,,,,,,y,,,
"Castlerigg, C",y,,,,,,,y,,,,,,,,,,,,y,,,,,,,,,,,,,,,y,,,,,,,,,,,y,,
Cauldside Burn,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,y,y,,y,,,
"Cerrig Arthur, Wales",,y,,,,,,,,?,,,,,,,,,?,,,,,,y,,,,,,,,,,,,?,,,,,,,,y,,,
"Cerrig Duon , Wales",,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,y,,,,,,y,,y,,,
"Cerrig Gaerau, Poewys ",Y,,,,,,Y,,,,,,,y,,,?,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Cerrig Pryfraid, Gwyb",y,,,,,,y,,,,,,,,,,,y,,,,,,,y,,,,,,,,,,,,,y,,,,,,,y,,,
Cheetham's Close,y,,,,,,?,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,?,,,y,,,
"Claughried, D&G",y,,,,,,y,,,,,,,,,,,,,,,,,?,y,,,,,,,,,,,,,,,,,y,y,,y,,,
"Cnoc An Liath-Baihd , High",y,,,,,,y,,,,,,,,,,,,,,?,,,,,,,,,,,,,y,,,,,,,,,,,y,,,
"Cockpit, C",,y,,,,,,,,,,y,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,?,,y,,,
Colen Wood ,y,,,,,,Y,,,,,,,,,,?,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,y,,,
"Coulton, Islay",Y,,,,,,?,,,,,,?,,,,?,,,,,,,,Y,?,,,,,,,,,,,,,,,,,,,,y,,
"Craddock Moor, corn",y,,,,,,y,,,,,,,?,,,?,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,y,,
Croft Moraig,y,,,,,,y,,,,,,,,,,,,,y,,,,,,?,,,,,,,,y,,,,,,?,,,,,y,,,
"Cullerlie, Aber",y,,,,,,y,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,y,,,,,,,,,y,,,
"Dailharraid, High",y,,,,,,y,,,,,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,,
Delph Hill/Extwistle Moor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,
"Doll Tor, peak",,,,,y,,y,,,,,,,,,,,,,,,,,y,,y,,,,,,,,,,,,,,,,y,,,y,,,
"Drannandow, D&G",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,?,,y,,,
"Druid's Seat Wsood, P&K",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Druidskinny, Fer",y,,,,,,,y,,,,,,,,,,,,,,,,?,y,,,,,,,,,,,,,,,,y,y,,,y,,,
"Duddo, North",Y,,,,,,Y,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,y,,,
"Dumpit Hill, W  Yorks",Y,,,,,,?,,,,,,,,,,?,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,y,,,
"Easthill, D&G",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Elva Plain, C",y,,,,,,,Y,,,,,,,,,?,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,y,,
"Ewden Beck, Peak",,y,,,,,,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Eynam Moor III, Peak",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
"Eynam Mor II, peak",,,y,,,,?,,,,,,,,,,,?,,,,,,,,,y,,,,,,,,,,,,,,,,y,,y,,,
"Faskally  Cottages  ,P&K",y,,,,,,y,,,,,,,,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,y,,,
"Fernacre, Corn",,?,,,,,,y,,?,,,,,,,?,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,y,
"Five Strnes, Borders",Y,,,,,,Y,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,y,,,
"Fowlis Wester West, P&K",y,,,,,,,y,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,y,,,,,,y,,y,,,
"Gamelsnds, C",Y,,,,,,?,,,,,,,,,,,?,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,y,,
Gaythorn Plain 2,,y,,,,,,,?,,,,,,,,,,,,,,,y,,,,,,,,,,?,,,,,,?,,,,,y,,,
"Gellin Hill, Powys",Y,,,,,,Y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Gibbet Moor, Peak",,y,,,,,,,,y,,,,,,,,?,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Girdlestanes, D&G",,?,,,,,,?,,,,,?,,,,,,y,,,,,,y,,,,,,,,,,,,,,,,,,?,,,y,,
"Glasell, Aber",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,?,,,,,,,,y,,,
"Glenquickan, D&G",y,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,y,,,
"Glentirow, D&G",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,?,,,,,,?,,y,,,
"Gors Faswr, Pem",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,y,,,,,y,,y,,,
"Grey Coft/Secsle, c",y,,,,,,y,,,,,,,,,,y,,,,,,,,,,y,,,,,,,,,,?,,,,,,,,y,,,
"Grubstonems, W Yorks",,y,,Y,,,,,,Y,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,y,,,
"Guidbest, High",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,y,
"Gunnerkeld, C",y,,,,,,,y,,,,,,,,,,,,?,,,,?,,,,y,,,,,,,,,,,,,,,,,,y,,
"Hafodty, Conwy",y,,,,,,?,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,y,,,,,,,,y,,,
Hengwm ,,y,,,,,,,,y,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,?,,y,,,
"Hmpton Down, Wilts",,,?,,,,?,,,,,,,,,,y,,,,,,,,,,,,,,,,,y,,,,,,,,,,,y,,,
"Hoarstones, Salolp",?,?,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,?,?,,,,,,,,,,,,y,,,
"Hough NE, Tiree",y,,,,,,y,,,,,,,,,,?,,,,,,,,,,?,,,,,,,,,,,,,,,,,,,y,,
"Howe Well, C",y,,,,,,y,,,,,,,?,,,y,,,,,,,,,,,,,,,,,,,y,,,,,,y,,,y,,,
"Hurlers centrall, Corn",y,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,y,,,,,?,,,,,y,y,,,,y,
