Name,standing stones/bouldrers,orthostats/boulders and bank,ditch and bank,bank ,stones on or protrude from mound,"other, inc once below mound",regularly spaced,irregularly spaced,contiguoius,bank faced inside,bank faced outside,stones on inside and outside,orthostats in centre of bank,all horizontal,stones protrrude from/on mound ,below mound,no perimeter focal point,gap,porch,portal stones,tall stone ,recumbent,splayed,other,nothing in interior,mound whole are,mound separate,mound seperte &kerb,ring cairn,boulder burial,megalithic tomb,menhir,boulder,stone circle insiode,other stone structure,other perimeter focal point,menir outside,more than one mehir outside,arc outside,paired stones outside,avenue row,other interior feature,part of complex,other outside feature,diam 1,diam 2,diam 3,diam 4
Cerrig Pryfraid,y,,,,,,y,,,,,,,,,,,y,,,,,,,y,,,,,,,,,,,,,y,,,,,,,y,,,
Brankam Hill 2,,,,,y,,,,,,,,,,,,y,,,,,,,,,y,,,,,,,,,,,,,,,,,y,,y,,,
Upper Auchnagorth,y,,,,,,y,,,,,,,,,,y,,,,,,,,,y,,,,,,,,,,,,,,,,,,,y,,,
Abercross,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Achanarass Hill,y,,,,,,y,,,,,,,,,,,?,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Acharn Falls,y,,,,,,y,,,,,,,,,,y,,,,,,,,,,?,,,,,,,,,,,,,,,,,,y,,,
Airich,,y,,,,,,y,,,,,,,,,?,,,,,,,,y,,,,,,,,,,,,,,,,,y,,,y,,,
Appletreewick,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Ash Cabin Flat,,y,,,,,,,,y,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Auchagsalion  Aran,y,,,,,,y,,,,,,,,,,,,,,,,,?,,y,,,,,,,,,,,,,,,,,,,y,,,
Auchinduich,y,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,,,y,,,,,,,,,,,y,,,
Aultan Brovbster,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,y,
Avebury,,,y,,,,y,,,,,,,,,,,,,,,,,?,,,,,,,,,,y,,,,,,,y,,y,,,,,y
Backhill of Drachlaw,y,,,,,,y,,,,,,,,,,,y,,,,,,?,y,,,,,,,,,,,,,,,,,,?,,y,,,
Backlass,y,,,,,,y,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,?,,,,,,,,y,,,
Balbirnie,y,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,,,,,,,y,,y,,,
Balfarg,,,y,,,,y,,,,,,,,,,,,,y,,,,,,,,,,,,,,y,,,,,,,,,y,,y,,,
Balgathno,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Balhomais,y,,,,,,?,,,,,,,,,,y,,,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,,
Balkembrack,y,,,,,,y,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Ballynoe,y,,,,,,,y,,,,,,,,,,,,y,,,,,,,,y,,,,,,,y,,?,,,,,,,,,y,,
Balmuick,y,,,,,,?,,,,,,,,,?,y,,,,,,,,?,,,,,,,,,,,,,,,,,,,,y,,,
Banford Moor S,,y,,,,,,,,y,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,?,,y,,,
BANNAU SIR GAER,y,,,,,,?,,,,,,,,,,,,,,?,,,,y,,,,,,,,,,,,,,,,,?,,,y,,,
Banniside,,y,,,,,,,,y,,,,,y,,,,,,,,,y,,y,,,,,,,,,,,,,,,,,,,y,,,
Barbreck house bB Argyll,y,,,,,,?,,,,,,,,,,?,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Barbrook 1,,y,,,,,,,,y,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
Barbrook 2,,y,,,,,,,,,,y,,,,,,y,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
Blackfaulds,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Bleberry Haws,y,,,,,,?,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
Boscawen-Un,y,,,,,,y,,,,,,,,,,,?,,,,,,y,,,,,,,,y,,,,,,,,,,,,,y,,,
Boskednan,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,y,,,
Brat's Hill,y,,,,,,y,,,,,,,,,,y,,,,,,,,,,,y,y,,,,,,,,,,,,,,y,,,y,,
Broomrigg centre,y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
Broomrigg S,y,,,,,,,y,,,,,,,,,y,,,,,,,,,?,,,,,,,,,,,,,,,,,y,,y,,,
Brown Edge,,?,,y,,,,,,,,,,,,,?,,,,,,,?,,,y,,,,,,,?,,,,,,,,,y,,y,,,
Bryn Y Gorlan,y,,,,,,?,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
